iteration internal-T external-T loop-time(ms) wall-time(ms)
616 277.066 260 9.75854 6934
617 277.05 260 9.84412 6946
618 277.034 260 9.54719 6957
619 277.018 260 9.54562 6968
620 277.002 260 9.82005 6980
621 276.986 260 9.59161 6991
622 276.97 260 9.52771 7003
623 276.954 260 9.50844 7014
624 276.938 260 9.5313 7025
625 276.922 260 9.52063 7037
626 276.907 260 9.50474 7048
627 276.891 260 9.50068 7059
628 276.875 260 9.50943 7070
629 276.859 260 9.51828 7081
630 276.843 260 9.48917 7093
631 276.828 260 9.49984 7104
632 276.812 260 9.47797 7115
633 276.796 260 9.51057 7126
634 276.781 260 9.48745 7138
635 276.765 260 9.46417 7149
636 276.75 260 9.52354 7160
637 276.734 260 9.50229 7171
638 276.718 260 9.51906 7183
639 276.703 260 9.50031 7194
640 276.687 260 9.51833 7205
641 276.672 260 9.49844 7216
642 276.656 260 9.45365 7227
643 276.641 260 9.49745 7239
644 276.626 260 9.53536 7250
645 276.61 260 9.50167 7261
646 276.595 260 9.52156 7272
647 276.579 260 9.51891 7284
648 276.564 260 9.49995 7295
649 276.549 260 9.50255 7306
650 276.534 260 9.53177 7317
651 276.518 260 9.50781 7329
652 276.503 260 9.46484 7340
653 276.488 260 9.49016 7351
654 276.473 260 9.51573 7362
655 276.457 260 9.45839 7374
656 276.442 260 9.51792 7385
657 276.427 260 9.50297 7396
658 276.412 260 9.47625 7407
659 276.397 260 9.50703 7419
660 276.382 260 9.51953 7430
661 276.367 260 9.51578 7441
662 276.352 260 9.53224 7452
663 276.337 260 9.50328 7464
664 276.322 260 9.52302 7475
665 276.307 260 9.49646 7486
666 276.292 260 9.4988 7497
667 276.277 260 9.47833 7508
668 276.262 260 9.51854 7520
669 276.247 260 9.50568 7531
670 276.232 260 9.50745 7542
671 276.217 260 9.48948 7553
672 276.202 260 9.52224 7565
673 276.188 260 9.48693 7576
674 276.173 260 9.49083 7587
675 276.158 260 9.49969 7598
676 276.143 260 9.47932 7610
677 276.129 260 9.48547 7621
678 276.114 260 9.51734 7632
679 276.099 260 9.50208 7643
680 276.084 260 9.51214 7654
681 276.07 260 9.47208 7666
682 276.055 260 9.44974 7677
683 276.04 260 9.50688 7688
684 276.026 260 9.51057 7699
685 276.011 260 9.4963 7710
686 275.997 260 9.49911 7722
687 275.982 260 9.47964 7733
688 275.968 260 9.50448 7744
689 275.953 260 9.47208 7755
690 275.939 260 9.50448 7767
691 275.924 260 9.50078 7778
